"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008347","GO:0008347","glial cell migration","10/675","63/22853",1.47178984511306e-05,0.000897762406961726,0.00075335674514729,"Rtn4/Vcan/Scrib/Fn1/Epha4/Vim/Fubp1/Dab1/Sun2/Bmerb1",10
"GO:0006898","GO:0006898","receptor-mediated endocytosis","22/675","266/22853",1.51386559234383e-05,0.000897762406961726,0.00075335674514729,"Atad1/Sirt2/Itsn2/Numb/Dab2/Scrib/App/Smap1/Dnm1/Clta/Fchsd2/Ophn1/Nlgn3/Ap1g1/Nedd4/Dnm3/Ap1g2/Atxn2/Aak1/Ap2a1/Nrg1/Synj2bp",22
"GO:0031503","GO:0031503","protein-containing complex localization","22/675","266/22853",1.51386559234383e-05,0.000897762406961726,0.00075335674514729,"Mcm3ap/Nup214/Git1/Atad1/Sirt2/Numb/Scrib/Nrxn1/Gripap1/Ophn1/Pcm1/Nedd4/Exoc3/Ythdc1/Dnm3/Dync2i1/Gphn/Nrg1/Wdr35/Ssb/Synj2bp/Zc3h11a",22
"GO:0070570","GO:0070570","regulation of neuron projection regeneration","8/675","39/22853",1.52061383840185e-05,0.000897762406961726,0.00075335674514729,"Ptprs/Rtn4/Epha4/Prrx1/Flna/Neo1/Ptprf/Nrg1",8
"GO:0002090","GO:0002090","regulation of receptor internalization","11/675","77/22853",1.56476856941362e-05,0.000911833320903754,0.000765164343512305,"Atad1/Sirt2/Numb/Dab2/Scrib/App/Ophn1/Nedd4/Atxn2/Nrg1/Synj2bp",11
"GO:0006914","GO:0006914","autophagy","30/675","435/22853",1.73950213108094e-05,0.000987993172425338,0.000829073833827651,"Fbxo7/Tsc2/Tafazzin/Sirt2/Retreg3/Atp6v0a1/Gopc/Sirt1/Gpr137b/Mtdh/Ptk2/Vti1a/Atg16l1/Acbd5/Nsfl1c/Fbxw7/Smg1/Pik3c2a/Pik3r2/Snx14/Myo5a/Vps13c/Rubcn/Sh3glb1/Acer2/Smurf1/Soga3/Dap/Eif4g1/Fez2",30
"GO:0061919","GO:0061919","process utilizing autophagic mechanism","30/675","435/22853",1.73950213108094e-05,0.000987993172425338,0.000829073833827651,"Fbxo7/Tsc2/Tafazzin/Sirt2/Retreg3/Atp6v0a1/Gopc/Sirt1/Gpr137b/Mtdh/Ptk2/Vti1a/Atg16l1/Acbd5/Nsfl1c/Fbxw7/Smg1/Pik3c2a/Pik3r2/Snx14/Myo5a/Vps13c/Rubcn/Sh3glb1/Acer2/Smurf1/Soga3/Dap/Eif4g1/Fez2",30
"GO:0051648","GO:0051648","vesicle localization","17/675","175/22853",1.81235990949024e-05,0.00101650736423534,0.00085300149950613,"Cul3/Sybu/Scrib/Nrxn1/Tcf7l2/Dnm1/Nlgn3/Ap1s2/Dctn1/Trak1/Myo5a/Dnm3/Madd/Syn3/Kif1b/Clasp1/Ap1ar",17
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","13/675","109/22853",2.01147833503104e-05,0.001109079601133,0.000930683432431176,"Celf2/Rbfox1/Rbm25/Hnrnpl/Obi1/Acin1/Son/Celf4/Fxr1/Rbm5/Ythdc1/Snrnp70/Fam172a",13
"GO:0032535","GO:0032535","regulation of cellular component size","29/675","417/22853",2.05156244470781e-05,0.001109079601133,0.000930683432431176,"Tsc2/Eif2b2/Ptprs/Sema6a/Rtn4/Evl/Dmtn/Bin1/Spire1/Slit1/Add3/Fn1/Abi2/Sema6d/Macf1/Hp1bp3/Add1/Cyfip1/Pex11a/Fchsd2/Plxna3/Pik3r2/Tmod2/Tpm1/Sptan1/Gmfb/Nrg1/Ctnna2/Ap1ar",29
"GO:0032970","GO:0032970","regulation of actin filament-based process","29/675","417/22853",2.05156244470781e-05,0.001109079601133,0.000930683432431176,"Mef2c/Evl/Dmtn/Mtss1/Bin1/Spire1/Add3/Pam/Vangl2/Abi2/Add1/Cyfip1/Fchsd2/Flna/Pik3r2/Tmod2/Tpm1/Ank2/Phldb2/Fermt2/Limch1/Sh3pxd2b/Sptan1/Taok2/Gmfb/Ctnna2/Clasp1/Rhog/Ap1ar",29
"GO:0030902","GO:0030902","hindbrain development","17/675","177/22853",2.1014240461413e-05,0.00112251067798048,0.000941954111910706,"Psap/Ptprs/Slc4a7/Scrib/Arl13b/Nrxn1/Dab1/Ezh2/Ophn1/Flna/Cul5/Ephb1/Cplane1/Rere/Atxn2/Ctnna2/Samd4b",17
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","23/675","292/22853",2.1376444305107e-05,0.00112842477172959,0.000946916919868333,"Celf2/Rbfox1/Rbm25/Hnrnpl/Cnot2/Zc3h14/Papola/Obi1/Acin1/Son/Celf4/Vim/Fxr1/Rbm5/Larp4b/Ythdc1/Tardbp/Tnrc6b/Srpk2/Snrnp70/Fam172a/Hnrnpr/Samd4b",23
"GO:0048259","GO:0048259","regulation of receptor-mediated endocytosis","14/675","126/22853",2.20085764340036e-05,0.00114828467976016,0.000963582348891441,"Atad1/Sirt2/Numb/Dab2/Scrib/App/Smap1/Ophn1/Nedd4/Atxn2/Aak1/Ap2a1/Nrg1/Synj2bp",14
"GO:0006895","GO:0006895","Golgi to endosome transport","5/675","13/22853",2.34085752696447e-05,0.00120729054292984,0.00101309708093792,"Rab14/Dop1a/Kif16b/Sort1/Ap1ar",5
"GO:0007411","GO:0007411","axon guidance","21/675","255/22853",2.50594332090572e-05,0.00127774632737545,0.00107222000704303,"Mef2c/Sema6a/Nrcam/Evl/App/Slit1/Ablim1/Rnf165/Epha4/Vangl2/Sema6d/Cyfip1/Plxna3/Neo1/Ephb1/Ptprm/Apbb1/Agrn/Bcl11b/Tenm2/Rhog",21
"GO:0097485","GO:0097485","neuron projection guidance","21/675","256/22853",2.65590082238206e-05,0.00133899179663239,0.0011236141030941,"Mef2c/Sema6a/Nrcam/Evl/App/Slit1/Ablim1/Rnf165/Epha4/Vangl2/Sema6d/Cyfip1/Plxna3/Neo1/Ephb1/Ptprm/Apbb1/Agrn/Bcl11b/Tenm2/Rhog",21
"GO:0032984","GO:0032984","protein-containing complex disassembly","19/675","218/22853",2.77151333526271e-05,0.00138175337059153,0.00115949745031985,"Apc/Evl/Dmtn/Add3/Smarcc2/Camsap1/Asph/Add1/Tfip11/Tmod2/Tpm1/Snx14/Rubcn/Smarce1/Bmerb1/Camsap3/Sptan1/Nrg1/Clasp1",19
"GO:0010506","GO:0010506","regulation of autophagy","21/675","257/22853",2.81385873123402e-05,0.00138744880517,0.00116427677057537,"Fbxo7/Tsc2/Sirt2/Atp6v0a1/Sirt1/Gpr137b/Mtdh/Ptk2/Atg16l1/Fbxw7/Smg1/Pik3c2a/Pik3r2/Vps13c/Rubcn/Sh3glb1/Acer2/Soga3/Dap/Eif4g1/Fez2",21
"GO:0043244","GO:0043244","regulation of protein-containing complex disassembly","14/675","129/22853",2.87265065588596e-05,0.00139206995018744,0.00116815460143818,"Apc/Evl/Dmtn/Add3/Camsap1/Asph/Add1/Tmod2/Tpm1/Rubcn/Bmerb1/Camsap3/Sptan1/Clasp1",14
"GO:0048638","GO:0048638","regulation of developmental growth","28/675","403/22853",2.885279816524e-05,0.00139206995018744,0.00116815460143818,"Eif2b2/Mef2c/Apc/Ptprs/Sema6a/Sirt1/Rtn4/Itsn2/Ptk2/App/Nedd4l/Tcf7l2/Slit1/Fn1/Sema6d/Gnas/Macf1/Ybx3/Cyfip1/Plxna3/Sh3glb1/Smurf1/Sh3pxd2b/Agrn/Atxn2/Plcb1/Nrg1/Afdn",28
"GO:0043954","GO:0043954","cellular component maintenance","10/675","68/22853",2.93270161463126e-05,0.00139989703668622,0.00117472269602867,"Fyn/Mtss1/App/Erc1/Ophn1/Cadm1/Fermt2/Erc2/Camsap3/Afdn",10
"GO:2001222","GO:2001222","regulation of neuron migration","9/675","55/22853",3.06096743354065e-05,0.00144574324992599,0.00121319451631855,"Nsmf/Sema6a/Flna/Neo1/Zswim6/Fbxo31/Phactr1/Nrg1/Ctnna2",9
"GO:0097484","GO:0097484","dendrite extension","8/675","43/22853",3.22974730521825e-05,0.00150957043317857,0.00126675505600501,"Rtn4/Itsn2/Nedd4l/Auts2/Cyfip1/Sh3glb1/Smurf1/Afdn",8
"GO:0010639","GO:0010639","negative regulation of organelle organization","26/675","363/22853",3.31136061584765e-05,0.00153176031786685,0.00128537568343864,"Tchp/Apc/Evi5l/Tom1l1/Evl/Dmtn/Nubp1/Add3/Camsap1/Src/Add1/Kntc1/Atrx/Tmod2/Tpm1/Map4/Phldb2/Opa1/Slx4/Bmerb1/Camsap3/Fez2/Sptan1/Gmfb/Ctnna2/Clasp1",26
"GO:0061001","GO:0061001","regulation of dendritic spine morphogenesis","9/675","56/22853",3.55255888941187e-05,0.00160333742464826,0.00134543956645908,"Ube3a/Epha4/Abi2/Cask/Nlgn3/Opa1/Srcin1/Dnm3/Afdn",9
"GO:1990138","GO:1990138","neuron projection extension","18/675","203/22853",3.56320265562428e-05,0.00160333742464826,0.00134543956645908,"Eif2b2/Ptprs/Sema6a/Rtn4/Itsn2/Nedd4l/Slit1/Fn1/Sema6d/Macf1/Auts2/Cyfip1/Nlgn3/Plxna3/Sh3glb1/Smurf1/Nrg1/Afdn",18
"GO:1903076","GO:1903076","regulation of protein localization to plasma membrane","13/675","115/22853",3.57595733085738e-05,0.00160333742464826,0.00134543956645908,"Gopc/Numb/Camk2g/Dab2/Nrxn1/Sorbs1/Gripap1/Pik3r2/Atp2c1/Myo5a/Lyplal1/Dpp6/Rhog",13
"GO:0060998","GO:0060998","regulation of dendritic spine development","11/675","84/22853",3.60902785579394e-05,0.00160333742464826,0.00134543956645908,"Tsc2/Mef2c/Ptprs/Asap1/Ube3a/Cask/Nlgn3/Opa1/Dnm3/Nrg1/Afdn",11
"GO:0010976","GO:0010976","positive regulation of neuron projection development","19/675","224/22853",4.02798110373579e-05,0.00177191678553554,0.00148690282848947,"Tsc2/Retreg3/Fyn/Sirt1/Rtn4/Mark2/Ezh2/Cyfip1/Cask/Flna/Tenm3/Nckipsd/Apbb1/Opa1/Rapgef1/Clip1/Ap2a1/Nrg1/Afdn",19
"GO:0031334","GO:0031334","positive regulation of protein-containing complex assembly","20/675","244/22853",4.1480926871799e-05,0.00180703804731808,0.0015163748126768,"Apc/Git1/Nin/Evl/Asap1/Bin1/Spire1/Abi2/Src/Cyfip1/Fchsd2/Dctn1/Sh3glb1/Fermt2/Eif4g1/Clip1/Gmfb/Nrg1/Ctnna2/Ap1ar",20
"GO:0034315","GO:0034315","regulation of Arp2/3 complex-mediated actin nucleation","6/675","23/22853",4.26554017455379e-05,0.00183827577943732,0.00154258793545031,"Abi2/Cyfip1/Fchsd2/Gmfb/Ctnna2/Ap1ar",6
"GO:0021885","GO:0021885","forebrain cell migration","10/675","71/22853",4.30173739337906e-05,0.00183827577943732,0.00154258793545031,"Rtn4/Arl13b/Slit1/Lhx6/Dab1/Cul5/Sun2/Emx2/Bmerb1/Nrg1",10
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","19/675","226/22853",4.5474707419442e-05,0.00192495294519845,0.00161532302323082,"Tsc2/Apc/Lims1/Arf4/Scrib/Mark2/Vangl2/Frmd4a/Nsfl1c/Macf1/Ophn1/Dctn1/Map4/Ephb1/Pkd1/Camsap3/Clasp1/Rhog/Synj2bp",19
"GO:0000381","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","9/675","58/22853",4.73807423192585e-05,0.00198352563784302,0.00166447426051036,"Celf2/Rbfox1/Rbm25/Hnrnpl/Celf4/Fxr1/Rbm5/Ythdc1/Fam172a",9
"GO:0032273","GO:0032273","positive regulation of protein polymerization","14/675","135/22853",4.77425381963552e-05,0.00198352563784302,0.00166447426051036,"Apc/Git1/Nin/Evl/Bin1/Spire1/Abi2/Cyfip1/Fchsd2/Dctn1/Clip1/Gmfb/Ctnna2/Ap1ar",14
"GO:0099504","GO:0099504","synaptic vesicle cycle","19/675","227/22853",4.82890345712752e-05,0.00198782475340653,0.00166808186056448,"Git1/Pls3/Itsn2/Scrib/Nrxn1/Bin1/Stxbp1/Dnm1/Erc1/Cyfip1/Apba2/Cask/Gripap1/Ophn1/Nlgn3/Ap1s2/Dnm3/Erc2/Syn3",19
"GO:0050773","GO:0050773","regulation of dendrite development","14/675","136/22853",5.18029562537421e-05,0.00211308967918673,0.00177319784229316,"Nsmf/Numb/Nedd4l/Epha4/Ezh2/Cyfip1/Cask/Nedd4/Ptprf/Sh3glb1/Opa1/Clip1/Fbxo31/Afdn",14
"GO:0043414","GO:0043414","macromolecule methylation","23/675","311/22853",5.70990902337715e-05,0.00230814070161201,0.00193687478204079,"Kmt2a/Trmt10a/Mettl1/Ezh1/Sirt1/Meg3/Dimt1/Paxbp1/Rtf1/Zdbf2/Gnas/Auts2/Ezh2/Atrx/Trmt5/Rif1/Arid4b/Mettl22/Kmt5b/Kmt5a/Setdb2/Mta2/Prmt1",23
"GO:0030041","GO:0030041","actin filament polymerization","17/675","192/22853",5.93249175185424e-05,0.0023767045080866,0.001994410056051,"Evl/Dmtn/Mtss1/Bin1/Spire1/Add3/Abi2/Add1/Cyfip1/Fchsd2/Pik3r2/Tmod2/Tpm1/Sptan1/Gmfb/Ctnna2/Ap1ar",17
"GO:0008380","GO:0008380","RNA splicing","27/675","398/22853",5.995042603064e-05,0.00238050939468568,0.00199760292418816,"Celf2/Ccdc130/Rbfox1/Rbm25/Tsen15/Hnrnpl/Obi1/Acin1/Son/Paxbp1/Prpf40b/Celf4/Tcerg1/Sf3b1/Fxr1/Zranb2/Tfip11/Rbm5/Srek1/Ythdc1/Tardbp/Trpt1/Rrp1b/Srpk2/Snrnp70/Fam172a/Prmt1",27
"GO:0030833","GO:0030833","regulation of actin filament polymerization","16/675","175/22853",6.62236740922867e-05,0.00258387500567035,0.00216825704556622,"Evl/Dmtn/Bin1/Spire1/Add3/Abi2/Add1/Cyfip1/Fchsd2/Pik3r2/Tmod2/Tpm1/Sptan1/Gmfb/Ctnna2/Ap1ar",16
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","16/675","175/22853",6.62236740922867e-05,0.00258387500567035,0.00216825704556622,"Apc/Evl/Dmtn/Nubp1/Add3/Camsap1/Add1/Tmod2/Tpm1/Phldb2/Bmerb1/Camsap3/Sptan1/Gmfb/Ctnna2/Clasp1",16
"GO:0048679","GO:0048679","regulation of axon regeneration","7/675","36/22853",7.52230431682468e-05,0.00290891416672018,0.00244101344805651,"Ptprs/Rtn4/Epha4/Flna/Neo1/Ptprf/Nrg1",7
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","16/675","177/22853",7.58508931371208e-05,0.00290891416672018,0.00244101344805651,"Pfdn5/Apc/Evl/Dmtn/Add3/Camsap1/Add1/Tmod2/Tpm1/Phldb2/Bmerb1/Camsap3/Sptan1/Gmfb/Ctnna2/Clasp1",16
"GO:0051261","GO:0051261","protein depolymerization","13/675","124/22853",7.88242082505479e-05,0.00299732391881533,0.00251520243454246,"Apc/Evl/Dmtn/Add3/Camsap1/Asph/Add1/Tmod2/Tpm1/Bmerb1/Camsap3/Sptan1/Clasp1",13
"GO:0050769","GO:0050769","positive regulation of neurogenesis","22/675","297/22853",8.02806429669716e-05,0.0030270524789311,0.00254014913660201,"Eif2b2/Rtn4/Nin/Numb/Ptk2/Bin1/Fn1/Epha4/Vim/Macf1/Cyfip1/Cask/Plxna3/Faim/Trak1/Ptprf/Aspm/Sh3glb1/Opa1/Fbxo31/Nrg1/Afdn",22
"GO:0031122","GO:0031122","cytoplasmic microtubule organization","9/675","62/22853",8.12715822994371e-05,0.00303887991481312,0.002550074121799,"Apc/Wdr73/Camsap1/Pcm1/Dctn1/Tubgcp5/Camsap3/Clip1/Clasp1",9
"GO:0048814","GO:0048814","regulation of dendrite morphogenesis","11/675","92/22853",8.44038438257309e-05,0.00312991774583516,0.00262646845902253,"Nsmf/Numb/Nedd4l/Epha4/Cask/Nedd4/Ptprf/Sh3glb1/Opa1/Fbxo31/Afdn",11
"GO:0043547","GO:0043547","positive regulation of GTPase activity","19/675","237/22853",8.61746101038264e-05,0.00316938914373663,0.00265959085713017,"Sipa1l2/Tsc2/Evi5l/Lims1/Eif5/Asap1/Scrib/Bin1/Map4k4/Epha4/Gnas/Ezh2/Fermt2/Rapgef1/Tax1bp3/Agrn/Asap2/Afdn/Rhog",19
"GO:1905475","GO:1905475","regulation of protein localization to membrane","17/675","198/22853",8.6966339580868e-05,0.00317250378617361,0.00266220450732362,"Fyn/Gopc/Numb/Camk2g/Dmtn/Dab2/Nrxn1/Sorbs1/Gripap1/Pik3r2/Atp2c1/Myo5a/Tcaf1/Sh3glb1/Lyplal1/Dpp6/Rhog",17
"GO:0071539","GO:0071539","protein localization to centrosome","7/675","37/22853",9.04294820463882e-05,0.00327223456404955,0.00274589352529652,"Apc/4933427D14Rik/Nin/Nsfl1c/Pcm1/Cep350/Golgb1",7
"GO:0072659","GO:0072659","protein localization to plasma membrane","22/675","300/22853",9.29817339842383e-05,0.00331943459457596,0.00278550140048989,"Gopc/Numb/Camk2g/Dab2/Scrib/Epb41l3/Nrxn1/Sorbs1/Stxbp1/Macf1/Cask/Gripap1/Flna/Pik3r2/Atp2c1/Ank2/Myo5a/Lyplal1/Dpp6/Afdn/Rhog/Ehd2",22
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","11/675","93/22853",9.32134519537712e-05,0.00331943459457596,0.00278550140048989,"Git1/Atad1/Sirt2/Numb/Scrib/Gripap1/Ophn1/Nedd4/Dnm3/Gphn/Nrg1",11
"GO:0042063","GO:0042063","gliogenesis","24/675","343/22853",9.45259561983205e-05,0.00333966901938476,0.00280248110502604,"Eif2b2/Sirt2/B4galt5/Rtn4/Vcan/Plec/Scrib/Ptk2/App/Bin1/Tcf7l2/Fn1/Epha4/Vim/Fubp1/Dab1/Ezh2/Nlgn3/Hdac11/Sun2/Bmerb1/Nrg1/Afdn/Miat",24
"GO:0061000","GO:0061000","negative regulation of dendritic spine development","5/675","17/22853",0.000102012960166754,0.0035483112578932,0.00297756310498962,"Ptprs/Asap1/Ube3a/Nlgn3/Dnm3",5
"GO:2001044","GO:2001044","regulation of integrin-mediated signaling pathway","5/675","17/22853",0.000102012960166754,0.0035483112578932,0.00297756310498962,"Lims1/Dmtn/Dab2/Flna/Phactr4",5
"GO:0043624","GO:0043624","cellular protein complex disassembly","14/675","145/22853",0.000104173022842293,0.00359557194994898,0.00301722188426624,"Apc/Evl/Dmtn/Add3/Camsap1/Asph/Add1/Tmod2/Tpm1/Bmerb1/Camsap3/Sptan1/Nrg1/Clasp1",14
"GO:0042176","GO:0042176","regulation of protein catabolic process","26/675","390/22853",0.000108316793920767,0.0036942631690276,0.00310003855714444,"Apc/Usp19/Dedd/Sirt2/Fyn/Tlk2/Dab2/Ptk2/Cblb/App/Nedd4l/Arih1/Banp/Ube3a/Epha4/Fbxw7/Ophn1/Flna/Nedd4/Pkd1/Tmtc3/Smurf1/Cop1/Styx/Rnf14/Nrg1",26
"GO:0001952","GO:0001952","regulation of cell-matrix adhesion","13/675","128/22853",0.000109238694947287,0.0036942631690276,0.00310003855714444,"Lims1/Dmtn/Ptk2/Map4k4/Src/Macf1/Cask/Phldb2/Fermt2/Limch1/Acer2/Camsap3/Clasp1",13
"GO:0021987","GO:0021987","cerebral cortex development","12/675","111/22853",0.000109502340423595,0.0036942631690276,0.00310003855714444,"Ptprs/Rtn4/Lhx6/Dab1/Cul5/Aspm/Sun2/Emx2/Bmerb1/Plcb1/Phactr1/Afdn",12
"GO:0032200","GO:0032200","telomere organization","13/675","130/22853",0.000127920140598235,0.00426620038834887,0.00357997930609455,"Rpa1/Ezh1/Map3k4/Smc6/Rad51/Src/Dclre1b/Ezh2/Smg1/Atrx/Rif1/Slx4/Tprkb",13
"GO:1905508","GO:1905508","protein localization to microtubule organizing center","7/675","39/22853",0.000128356820242277,0.00426620038834887,0.00357997930609455,"Apc/4933427D14Rik/Nin/Nsfl1c/Pcm1/Cep350/Golgb1",7
"GO:0031647","GO:0031647","regulation of protein stability","22/675","307/22853",0.000129808370449021,0.00428272175150556,0.0035938431973386,"Fbxo7/Cul3/Usp19/B4galt5/Sirt1/Rtn4/Sugt1/Wiz/Nedd4l/Epha4/Stxbp1/Src/Fbxw7/Asph/Flna/Usp3/Ank2/Apbb1/Morc3/Pex2/Tardbp/Aak1",22
"GO:0010256","GO:0010256","endomembrane system organization","30/675","486/22853",0.000131634446238128,0.00431126832314218,0.00361779803452772,"Lman2l/Psap/Lpcat3/Tjap1/Rtn4/Mta1/Mtss1/Asap1/Plec/Epb41l3/Bin1/Vti1a/Tor1aip1/Stxbp1/Dnm1/Nsfl1c/Stx16/Arl6ip1/Aktip/Dctn1/Ank2/Myo5a/Arhgap21/Sh3glb1/Tardbp/Agrn/Sun2/Camsap3/Clasp1/Ehd2",30
"GO:0045010","GO:0045010","actin nucleation","8/675","52/22853",0.000132690141083219,0.00431435263072755,0.00362038622924999,"Evl/Spire1/Abi2/Cyfip1/Fchsd2/Gmfb/Ctnna2/Ap1ar",8
"GO:0036465","GO:0036465","synaptic vesicle recycling","10/675","81/22853",0.000134350536029406,0.00433691262707873,0.00363931743564698,"Itsn2/Scrib/Bin1/Dnm1/Cyfip1/Gripap1/Ophn1/Nlgn3/Ap1s2/Dnm3",10
"GO:0043967","GO:0043967","histone H4 acetylation","9/675","67/22853",0.000150266546528937,0.00481604281625243,0.00404137922506773,"Kmt2a/Brd8/Kansl1/Sirt1/Meaf6/Ing3/Auts2/Apbb1/Zzz3",9
"GO:0030038","GO:0030038","contractile actin filament bundle assembly","12/675","115/22853",0.000153864306102852,0.00486189536255984,0.00407985635974724,"Cul3/Evl/Sorbs1/Src/Pik3r2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Phactr1/Clasp1",12
"GO:0043149","GO:0043149","stress fiber assembly","12/675","115/22853",0.000153864306102852,0.00486189536255984,0.00407985635974724,"Cul3/Evl/Sorbs1/Src/Pik3r2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Phactr1/Clasp1",12
"GO:0009895","GO:0009895","negative regulation of catabolic process","22/675","312/22853",0.000163512656770352,0.00513063839810187,0.00430537190480344,"Tsc2/Usp19/Git1/Dedd/Sirt2/Fyn/Tlk2/Ptk2/Banp/Epha4/Crtc3/Smg1/Ophn1/Flna/Larp4b/Rubcn/Dap/Tardbp/Eif4g1/Styx/Fez2/Nrg1",22
"GO:1903034","GO:1903034","regulation of response to wounding","15/675","170/22853",0.000164881084763061,0.00513764880091565,0.00431125467980606,"Git1/Ptprs/Rtn4/Dmtn/Ptk2/Epha4/Cask/Flna/Neo1/Phldb2/Ptprf/Fermt2/Abat/Nrg1/Clasp1",15
"GO:0022029","GO:0022029","telencephalon cell migration","9/675","68/22853",0.00016871494946866,0.00522085502252329,0.00438107712703736,"Rtn4/Arl13b/Slit1/Lhx6/Dab1/Cul5/Sun2/Bmerb1/Nrg1",9
"GO:0051693","GO:0051693","actin filament capping","7/675","41/22853",0.000178263537191925,0.00547855131082307,0.00459732280126544,"Evl/Dmtn/Add3/Add1/Tmod2/Tpm1/Sptan1",7
"GO:0008064","GO:0008064","regulation of actin polymerization or depolymerization","16/675","192/22853",0.000196259824477215,0.00592429904775642,0.00497137172740542,"Evl/Dmtn/Bin1/Spire1/Add3/Abi2/Add1/Cyfip1/Fchsd2/Pik3r2/Tmod2/Tpm1/Sptan1/Gmfb/Ctnna2/Ap1ar",16
"GO:0008033","GO:0008033","tRNA processing","12/675","118/22853",0.000196490090098336,0.00592429904775642,0.00497137172740542,"Trmt10a/Mettl1/Tsen15/Dus4l/Rpp40/Fars2/Qtrt2/Trmt5/Trpt1/Tprkb/Pus7/Ssb",12
"GO:0032259","GO:0032259","methylation","24/675","360/22853",0.000196728450660955,0.00592429904775642,0.00497137172740542,"Kmt2a/Trmt10a/Mettl1/Ezh1/Sirt1/Meg3/Dimt1/Paxbp1/Tyms/Rtf1/Zdbf2/Gnas/Auts2/Ezh2/Atrx/Trmt5/Rif1/Arid4b/Mettl22/Kmt5b/Kmt5a/Setdb2/Mta2/Prmt1",24
"GO:0050771","GO:0050771","negative regulation of axonogenesis","9/675","70/22853",0.000211299840722792,0.00632068256882113,0.00530399670361704,"Tsc2/Ptprs/Sema6a/Rtn4/Ptk2/Slit1/Sema6d/Dab1/Plxna3",9
"GO:0031623","GO:0031623","receptor internalization","13/675","137/22853",0.000216607662518209,0.00643654689880267,0.00540122418144045,"Atad1/Sirt2/Numb/Dab2/Scrib/App/Dnm1/Ophn1/Nedd4/Dnm3/Atxn2/Nrg1/Synj2bp",13
"GO:0040013","GO:0040013","negative regulation of locomotion","23/675","341/22853",0.000224335891749468,0.0066223364886833,0.00555712939603772,"Mef2c/Sema6a/Evl/Ptk2/Slit1/Epha4/Sema6d/Adipor2/Plxna3/Pik3r2/Tpm1/Phldb2/Ptprm/Tcaf1/Limch1/Bmerb1/Plcb1/Nrg1/Clasp1/Lrch1/Afdn/Ap1ar/Synj2bp",23
"GO:0043484","GO:0043484","regulation of RNA splicing","14/675","156/22853",0.000225979915998798,0.00662726720971637,0.00556126700741451,"Celf2/Rbfox1/Rbm25/Hnrnpl/Obi1/Acin1/Son/Celf4/Fxr1/Rbm5/Ythdc1/Rrp1b/Snrnp70/Fam172a",14
"GO:0030832","GO:0030832","regulation of actin filament length","16/675","195/22853",0.000234243852202798,0.00678138752302618,0.00569059696898987,"Evl/Dmtn/Bin1/Spire1/Add3/Abi2/Add1/Cyfip1/Fchsd2/Pik3r2/Tmod2/Tpm1/Sptan1/Gmfb/Ctnna2/Ap1ar",16
"GO:1903829","GO:1903829","positive regulation of cellular protein localization","20/675","277/22853",0.000234257870753077,0.00678138752302618,0.00569059696898987,"Apc/Fyn/Rtn4/Gpr137b/Nrxn1/Sorbs1/Src/Fbxw7/Flna/Pik3r2/Atp2c1/Myo5a/Tcaf1/Sh3glb1/Fermt2/Tardbp/Dpp6/Nrg1/Rhog/Synj2bp",20
"GO:0032801","GO:0032801","receptor catabolic process","6/675","31/22853",0.000254432460169268,0.00731819518448401,0.0061410587721017,"Git1/Nedd4/Sh3glb1/Smurf1/Kif16b/Gprasp1",6
"GO:0008360","GO:0008360","regulation of cell shape","14/675","159/22853",0.000275352254489152,0.00786946220313901,0.00660365413548573,"Fyn/Dmtn/Ptk2/Epb41l3/Mark2/Fn1/Cyfip1/Plxna3/Tpm1/Fmnl2/Fermt2/Rhoj/Taok2/Rhog",14
"GO:0006997","GO:0006997","nucleus organization","13/675","141/22853",0.000287774083421298,0.00804648590692103,0.00675220346241341,"Gopc/Sirt1/Rtn4/Plec/Bin1/Wdr73/Tor1aip1/Nsfl1c/Dctn1/Nup54/Tardbp/Sun2/Srpk2",13
"GO:1904375","GO:1904375","regulation of protein localization to cell periphery","13/675","141/22853",0.000287774083421298,0.00804648590692103,0.00675220346241341,"Gopc/Numb/Camk2g/Dab2/Nrxn1/Sorbs1/Gripap1/Pik3r2/Atp2c1/Myo5a/Lyplal1/Dpp6/Rhog",13
"GO:0045599","GO:0045599","negative regulation of fat cell differentiation","8/675","58/22853",0.000289355431097583,0.00804648590692103,0.00675220346241341,"Lrp3/Sirt2/Sirt1/Tcf7l2/Ncor2/Nucb2/Fermt2/Sort1",8
"GO:0050775","GO:0050775","positive regulation of dendrite morphogenesis","8/675","58/22853",0.000289355431097583,0.00804648590692103,0.00675220346241341,"Numb/Epha4/Cask/Ptprf/Sh3glb1/Opa1/Fbxo31/Afdn",8
